Category,speed,direction,lane,episode,sweep_time_stamp,max_rssi,selected_sector,tx_mcs,rx_mcs,sqi,all_rssi,all_sector
Cat1,15mph,lr,opposite,4,1624827932.777822,5940,26,0,1,40,"[5940, 4758, 5881, 3798, 4077, 4142, 4250, 4138]","[26, 29, 30, 30, 60, 60, 62, 63]"
Cat1,15mph,lr,opposite,4,1624827933.797593,6062,30,2,7,40,"[4485, 4196, 4872, 4124, 4138, 4022, 3001, 4411, 3936, 4040, 4057, 5838, 4108, 5068, 3652, 4008, 4673, 3796, 3908, 6042, 3704, 4791, 6062, 4016, 4002, 4407, 3864, 4158]","[2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 19, 19, 19, 22, 23, 23, 26, 26, 29, 30, 30, 30, 61, 61, 63]"
Cat1,15mph,lr,opposite,4,1624827934.727114,5876,26,0,8,40,"[3920, 3979, 4733, 3648, 4067, 3964, 3396, 4915, 4056, 3786, 3892, 4660, 4064, 4768, 3684, 4547, 5188, 5876, 4349, 5138, 3606, 0]","[1, 3, 4, 4, 7, 8, 9, 10, 12, 12, 12, 16, 17, 19, 19, 22, 23, 26, 29, 30, 30, 30]"
Cat1,15mph,lr,opposite,4,1624827935.697537,5761,26,0,2,40,"[4078, 0, 4058, 3634, 4618, 3962, 3394, 4396, 3815, 3549, 3878, 5033, 3918, 5004, 4061, 5046, 3968, 3628, 5761, 3899, 4543, 3466, 3910, 3883]","[2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 19, 22, 23, 24, 24, 26, 29, 30, 31, 61, 63]"
Cat1,15mph,lr,opposite,4,1624827936.707495,5158,19,2,7,35,"[4051, 0, 4093, 4689, 4322, 4092, 3364, 4358, 4172, 3936, 3949, 4558, 3479, 5158, 3774]","[1, 2, 3, 4, 4, 8, 9, 10, 12, 12, 15, 16, 17, 19, 19]"
Cat1,15mph,lr,opposite,4,1624827937.889243,5527,26,2,7,40,"[5527, 3416, 4563, 5087, 3412, 3800, 4040, 3710, 4016]","[26, 26, 29, 30, 31, 31, 61, 61, 63]"
Cat1,15mph,lr,opposite,4,1624827938.8773,6053,26,0,1,40,"[3619, 4544, 4135, 4060, 4003, 4334, 4190, 4598, 3926, 5052, 4083, 3600, 5224, 3906, 3618, 4208, 5070, 3780, 6053, 3714, 4358, 5144, 4006, 3718, 3815, 4026]","[2, 4, 7, 8, 9, 10, 12, 13, 15, 16, 17, 17, 19, 19, 19, 22, 23, 23, 26, 26, 29, 30, 31, 31, 61, 61]"
Cat1,15mph,lr,opposite,4,1624827939.857404,5811,26,4,4,40,"[4076, 0, 4131, 3773, 4075, 3688, 4463, 4102, 3828, 3889, 4934, 3939, 5116, 3626, 3814, 5062, 5811, 3632, 4212, 5038, 3602, 3708, 3624, 3903, 4596]","[2, 3, 4, 7, 8, 8, 10, 10, 10, 15, 16, 17, 19, 19, 22, 23, 26, 26, 29, 30, 30, 30, 61, 62, 63]"
Cat1,15mph,lr,opposite,4,1624827940.897741,5380,26,4,3,40,"[4109, 4119, 4109, 3876, 4392, 3842, 4498, 4403, 3764, 3591, 4903, 4068, 4992, 3544, 4532, 4984, 3640, 5380, 3598, 4544, 5088, 3018, 3834, 3803]","[1, 3, 4, 4, 8, 8, 10, 12, 12, 15, 16, 17, 19, 19, 22, 23, 23, 26, 26, 29, 30, 31, 31, 63]"
Cat1,15mph,lr,opposite,4,1624827941.936929,5388,26,4,1,40,"[3632, 3670, 3654, 3931, 3508, 4770, 4009, 4001, 3860, 4916, 4007, 4978, 3644, 4139, 4438, 5388, 4646, 4515, 3809, 3752, 3936, 3798, 4343]","[2, 4, 4, 7, 8, 10, 12, 13, 13, 16, 17, 19, 19, 22, 23, 26, 29, 30, 31, 31, 61, 61, 63]"
Cat1,15mph,lr,opposite,4,1624827942.957245,5388,26,4,7,40,"[3563, 0, 4380, 4170, 3863, 4105, 3514, 3730, 4707, 4111, 4117, 4971, 3856, 4890, 3393, 3742, 4233, 5089, 3435, 3574, 5388, 4003, 3582, 4817, 4532, 3544, 3875, 3990]","[1, 1, 3, 4, 6, 7, 8, 8, 10, 12, 15, 16, 16, 19, 20, 20, 22, 23, 24, 24, 26, 27, 27, 29, 30, 30, 61, 63]"
Cat1,15mph,lr,opposite,4,1624827943.837014,6303,26,4,8,40,"[3128, 4960, 4026, 4914, 3216, 3633, 4037, 5016, 3240, 5224, 0, 4469, 3166, 3849, 5210, 3258, 6245, 3963, 3198, 5340, 5320, 4058, 3921, 6303, 4769, 3286, 6034, 5312, 3097, 3862, 3926, 3250, 3804]","[1, 2, 3, 4, 4, 6, 7, 8, 9, 10, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 59, 60, 61, 61, 63]"
Cat1,15mph,lr,opposite,4,1624827944.817081,4417,63,1,8,55,"[3369, 4287, 4190, 4417]","[60, 61, 62, 63]"
Cat1,15mph,lr,opposite,4,1624827945.669077,19520,12,2,7,30,"[9244, 0, 8773, 8088, 8175, 9664, 13351, 7771, 8772, 10568, 5519, 19520, 10852, 8137, 6295, 17408, 9720, 7543, 7891, 12715, 9347, 12835, 7508, 11986, 7797, 12348, 8062, 7745, 10156, 15135, 6588, 13502, 9548, 15718, 6588, 6415]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 59, 60, 61, 62, 63]"
Cat1,15mph,lr,opposite,4,1624827946.686872,6178,27,0,0,30,"[6134, 6124, 6068, 5888, 5648, 6130, 6178]","[27, 27, 27, 27, 27, 27, 27]"
Cat1,15mph,lr,opposite,4,1624827947.676762,6550,13,0,2,30,"[6384, 6248, 6368, 6380, 0, 6540, 6408, 6550, 6104, 6040, 6052, 6444, 6164]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
Cat1,15mph,lr,opposite,4,1624827948.636707,7232,13,0,2,35,"[6384, 6248, 6368, 6380, 0, 6540, 6408, 6550, 6104, 6040, 6052, 6444, 6164, 6292, 0, 6400, 6356, 0, 6296, 7076, 2540, 6160, 6524, 6400, 6264, 5920, 7232, 6684, 6684]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
