Category,speed,direction,lane,episode,time header,Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,x,y
Cat1,15mph,lr,opposite,2,1624827748.1913507,1624827748.791542,6478,1624827748,191350660,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827749.201301,1624827749.7714336,6479,1624827749,201301161,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827750.2110577,1624827750.802857,6480,1624827750,211057699,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827751.2211597,1624827751.791498,6481,1624827751,221159808,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827752.2311323,1624827752.7712767,6482,1624827752,231132273,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827753.2511642,1624827753.8017244,6483,1624827753,251164212,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827754.261207,1624827754.7923007,6484,1624827754,261207215,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827755.2714148,1624827755.771227,6485,1624827755,271414820,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827756.2813587,1624827756.8021429,6486,1624827756,281358682,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827757.2909172,1624827757.7913613,6487,1624827757,290917177,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827758.3011274,1624827759.311086,6488,1624827758,301127385,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827759.310863,1624827759.8076897,6489,1624827759,310862956,,0,1,42.33805066666667,-71.08696533333334,6.0,7.19174052008721,-8.666115397836116
Cat1,15mph,lr,opposite,2,1624827760.3211827,1624827760.8002684,6490,1624827760,321182722,,0,1,42.33803733333333,-71.08694933333334,6.0,8.505845456787386,-10.147596879524675
Cat1,15mph,lr,opposite,2,1624827761.330996,1624827762.3515832,6491,1624827761,330996131,,0,1,42.338005333333335,-71.08690666666666,6.0,12.010126310657395,-13.703152434787727
Cat1,15mph,lr,opposite,2,1624827762.3511121,1624827763.361625,6492,1624827762,351112119,,0,1,42.33796266666667,-71.08685333333334,6.0,16.39048023206166,-18.443893175401627
Cat1,15mph,lr,opposite,2,1624827763.3613458,1624827764.3712454,6493,1624827763,361345855,,0,1,42.33791466666667,-71.08679466666666,6.0,21.20887315953211,-23.77722650869095
Cat1,15mph,lr,opposite,2,1624827764.37092,1624827765.381797,6494,1624827764,370920006,,0,1,42.33786933333333,-71.08674133333334,6.0,25.58923390204762,-28.814263546432056
Cat1,15mph,lr,opposite,2,1624827765.3813708,1624827766.3824358,6495,1624827765,381370753,,0,1,42.337824,-71.086688,6.0,29.969597803570544,-33.85130058338367
Cat1,15mph,lr,opposite,2,1624827766.3812973,1624827767.4024167,6496,1624827766,381297240,,0,1,42.337792,-71.08665066666667,6.0,33.035854482429954,-37.40685613864672
Cat1,15mph,lr,opposite,2,1624827767.4011803,1624827768.4113736,6497,1624827767,401180220,,0,1,42.337770666666664,-71.086624,6.0,35.226038353814864,-39.77722650934842
Cat1,15mph,lr,opposite,2,1624827768.410911,1624827769.4209843,6498,1624827768,410911183,,0,1,42.33776266666667,-71.08661333333333,6.0,36.10211195731829,-40.66611539757206
Cat1,15mph,lr,opposite,2,1624827769.4206433,1624827770.43371,6499,1624827769,420643303,,0,1,42.33776,-71.086608,6.0,36.54014841348049,-40.96241169390977
Cat1,15mph,lr,opposite,2,1624827770.4305608,1624827771.4416714,6500,1624827770,430560935,,0,1,42.33776,-71.086608,6.0,36.54014841348049,-40.96241169390977
Cat1,15mph,lr,opposite,2,1624827771.4413166,1624827772.4507601,6501,1624827771,441316516,,0,1,42.33776,-71.086608,6.0,36.54014841348049,-40.96241169390977
Cat1,15mph,lr,opposite,2,1624827772.4504793,1624827773.4617753,6502,1624827772,450479316,,0,1,42.33776,-71.086608,6.0,36.54014841348049,-40.96241169390977
Cat1,15mph,lr,opposite,2,1624827773.4613614,1624827774.4808764,6503,1624827773,461361357,,0,1,42.33776,-71.086608,6.0,36.54014841348049,-40.96241169390977
