Category,speed,direction,lane,episode,Time header,lidar number,path to the file
Cat3,15mph,lr,opposite,3,1625003774.732948000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003774.732948000.pcd
Cat3,15mph,lr,opposite,3,1625003774.833779000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003774.833779000.pcd
Cat3,15mph,lr,opposite,3,1625003774.934650000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003774.934650000.pcd
Cat3,15mph,lr,opposite,3,1625003775.035505000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003775.035505000.pcd
Cat3,15mph,lr,opposite,3,1625003775.136384000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003775.136384000.pcd
Cat3,15mph,lr,opposite,3,1625003775.237231000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003775.237231000.pcd
Cat3,15mph,lr,opposite,3,1625003775.338077000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003775.338077000.pcd
Cat3,15mph,lr,opposite,3,1625003775.438953000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003775.438953000.pcd
Cat3,15mph,lr,opposite,3,1625003775.539802000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003775.539802000.pcd
Cat3,15mph,lr,opposite,3,1625003775.640681000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_3/lidar_pcd/ns1/velodyne_points/1625003775.640681000.pcd
