X,Y,Z
-7.243222344953057,-5.045067985371953,4.23
-19.332301207908067,11.506852173831517,4.95
-19.18267506010371,11.373720073978621,4.95
-19.033048912299353,11.24058797483384,4.95
-18.883422764494995,11.107455874272828,4.95
-18.733796625065505,10.9743237637982,4.95
-18.58417047621429,10.841191663945304,4.95
-18.43454432945679,10.708059563384293,4.95
-18.284918180605573,10.574927464239511,4.95
-18.135292033848078,10.441795364386616,4.95
-17.985665884996862,10.308663253911988,4.95
-17.83603973823936,10.175531153350976,4.95
-17.686413589388145,10.042399054206195,4.95
-17.536787442630647,9.9092669543533,4.95
-17.38716129377943,9.776134855208518,4.95
-17.2375351553968,9.643002754647506,4.95
-17.087909006545583,9.509870644880994,4.95
-16.93828285978809,9.376738544319982,4.95
-16.78865671093687,9.243606445175201,4.95
-16.63903056417937,9.11047434461419,4.95
-16.489404415328156,8.977342245469409,4.95
-16.339778268570658,8.844210145616513,4.95
-16.19015211971944,8.711078035141885,4.95
-16.040525972961944,8.577945934580873,4.95
-15.890899824110727,8.444813835436092,4.95
-15.741273684681238,8.311681735583196,4.95
-15.59164753687688,8.1785496357303,4.95
-15.442021389072522,8.045417524547556,4.95
-15.292395241268165,7.912285425402776,4.95
-15.14276909346381,7.7791533255498795,4.95
-14.99314294565945,7.646021226405098,4.95
-14.843516797855093,7.512889125844087,4.95
-14.693890650050738,7.379757025991191,4.95
-14.544264502246378,7.246624915516563,4.95
-14.394638354442023,7.113492814955551,4.95
-14.245012215012533,6.980360715810771,4.95
-14.095386066161316,6.847228615957874,4.95
-13.94575991940382,6.714096516813093,4.95
-13.796133770552604,6.5809644162520815,4.95
-13.646507623795104,6.447832306485569,4.95
-13.496881474943889,6.314700205924558,4.95
-13.347255328186389,6.1815681067797765,4.95
-13.197629179335175,6.048436006926881,4.95
-13.048003032577675,5.9153039077821,4.95
-12.89837688372646,5.782171795891241,4.95
-12.74875074534383,5.64903969674646,4.95
-12.599124596492613,5.515907596185449,4.95
-12.449498449735115,5.382775497040668,4.95
-12.299872300883898,5.249643397187771,4.95
-12.1502461541264,5.116511297334876,4.95
-12.000620005275186,4.983379186152132,4.95
-11.850993858517686,4.850247087007351,4.95
-11.701367709666469,4.717114987154455,4.95
-11.55174156290897,4.583982886593443,4.95
-11.402115414057755,4.450850787448663,4.95
-11.252489267300255,4.317718687595766,4.95
-11.102863126823909,4.184586577121138,4.95
-10.953236979019552,4.051454476560127,4.95
-10.803610831215193,3.918322377415346,4.95
-10.653984683410838,3.7851902775624495,4.95
-10.50435853560648,3.652058178417669,4.95
-10.354732387802123,3.5189260778566576,4.925
-10.205106239997766,3.385793967382029,4.925
-10.055480092193408,3.252661867529133,4.915
-9.905853944389051,3.1195297683843526,4.915
-9.756227796584694,2.986397668531456,4.915
-9.606601657155204,2.8532655679704444,4.915
-9.456975509350848,2.7201334574958165,4.905
-9.30734936154649,2.587001358351036,4.905
-9.157723213742132,2.453869257790024,4.905
-9.008097065937775,2.3207371579371276,4.895
-8.858470918133419,2.187605058792347,4.895
-8.708844770329062,2.054472958939451,4.895
-8.559218622524703,1.9213408477567073,4.885
-8.409592473673488,1.7882087471956958,4.885
-8.25996632691599,1.655076648050915,4.885
-8.110340186439641,1.521944548198019,4.875
-7.960714039682142,1.388812449053238,4.875
-7.811087890830928,1.2556803378704946,4.875
-7.661461744073429,1.122548238725714,4.865
-7.511835596269072,0.9894161381647022,4.865
-7.362209448464714,0.8562840390199215,4.865
-7.212583300660357,0.7231519391670252,4.855
-7.062957152856,0.5900198400222445,4.855
-6.913331005051642,0.45688772813138556,4.855
-6.763704857247284,0.3237556289866048,4.85
-6.614078717817796,0.1906235291337086,4.85
-6.464452570013439,0.05749142998892787,4.85
-6.314826422209082,-0.07564067057208379,4.835
-6.165200274404724,-0.20877277042498,4.835
-6.015574126600367,-0.341904880899608,4.835
-5.865947977749151,-0.47503698004438877,4.825
