Category,speed,direction,lane,episode,sweep_time_stamp,max_rssi,selected_sector,tx_mcs,rx_mcs,sqi,all_rssi,all_sector
Cat1,10mph,lr,opposite,9,1624825290.504817,12577,19,8,8,55,"[5447, 9831, 0, 8387, 8243, 8249, 8300, 12025, 8785, 8588, 8888, 10930, 9609, 12577, 8321, 8536, 9278, 11051, 8094, 11206, 11317, 10742, 8196, 9522, 9411]","[2, 4, 5, 6, 7, 8, 9, 10, 12, 12, 15, 16, 17, 19, 20, 20, 22, 23, 24, 26, 29, 30, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825291.508145,9529,16,7,8,50,"[6217, 6120, 6320, 6562, 5188, 6260, 6144, 5630, 5652, 7846, 6321, 5313, 6226, 9529, 5204, 8032, 6226, 5660, 6516, 6770, 6222, 6679, 5860, 6771, 6656, 6146, 6169]","[1, 2, 3, 4, 5, 6, 7, 7, 9, 10, 12, 13, 15, 16, 17, 19, 20, 20, 22, 23, 24, 26, 26, 29, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825292.42485,9529,16,7,8,55,"[6217, 6120, 6320, 6562, 5188, 6260, 6144, 5630, 5652, 7846, 6321, 5313, 6226, 9529, 5204, 8032, 6226, 5660, 6516, 6770, 6222, 6679, 5860, 6771, 6656, 6146, 6169]","[1, 2, 3, 4, 5, 6, 7, 7, 9, 10, 12, 13, 15, 16, 17, 19, 20, 20, 22, 23, 24, 26, 26, 29, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825293.408071,9529,16,7,8,55,"[6217, 6120, 6320, 6562, 5188, 6260, 6144, 5630, 5652, 7846, 6321, 5313, 6226, 9529, 5204, 8032, 6226, 5660, 6516, 6770, 6222, 6679, 5860, 6771, 6656, 6146, 6169]","[1, 2, 3, 4, 5, 6, 7, 7, 9, 10, 12, 13, 15, 16, 17, 19, 20, 20, 22, 23, 24, 26, 26, 29, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825294.314574,6857,16,8,8,60,"[6007, 0, 5904, 6144, 4864, 4784, 5142, 5058, 5079, 6293, 5104, 4897, 5000, 5801, 6857, 6015, 6717, 5246, 5022, 6165, 6673, 4472, 6334, 6636, 6367, 0, 5240, 5558]","[1, 2, 3, 4, 4, 6, 6, 8, 9, 10, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 29, 30, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825295.794649,7214,30,6,8,50,"[5549, 0, 5398, 6203, 4337, 4472, 4552, 5000, 5080, 6297, 5352, 4848, 5364, 6656, 3936, 7196, 6032, 5010, 5982, 6466, 5094, 6116, 5686, 7214, 4928, 5682, 5172]","[1, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 12, 15, 16, 17, 19, 20, 20, 22, 23, 24, 26, 29, 30, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825296.734549,6434,16,6,8,40,"[5160, 0, 4449, 5934, 3595, 4636, 4802, 4456, 4877, 6112, 4844, 4250, 4986, 6434, 4943, 6261, 4956, 4192, 5216, 5457, 4826, 5487, 5489, 6312, 5248, 4846]","[1, 2, 3, 4, 7, 7, 7, 7, 9, 10, 12, 12, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 29, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825298.134317,6473,16,8,8,70,"[5146, 0, 5698, 4398, 3521, 4784, 4861, 4221, 4717, 5495, 4768, 4434, 4959, 6473, 5729, 6098, 4249, 4290, 5132, 6010, 4930, 4064, 5264, 0, 5370, 5400, 4128, 4954, 4777]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 12, 15, 16, 17, 19, 20, 20, 22, 23, 24, 24, 26, 26, 29, 30, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825299.564271,6206,30,8,8,70,"[4158, 6064, 4681, 4719, 5300, 4172, 5965, 3489, 4079, 5094, 5192, 4164, 5171, 5688, 6206, 4082, 4797, 4832]","[9, 10, 12, 15, 16, 16, 19, 20, 21, 22, 23, 24, 26, 29, 30, 30, 61, 63]"
Cat1,10mph,lr,opposite,9,1624825300.494445,6206,30,8,8,70,"[4158, 6064, 4681, 4719, 5300, 4172, 5965, 3489, 4079, 5094, 5192, 4164, 5171, 5688, 6206, 4082, 4797, 4832]","[9, 10, 12, 15, 16, 16, 19, 20, 21, 22, 23, 24, 26, 29, 30, 30, 61, 63]"
