Episode,Car.001,Car.001_location_x,Car.001_location_y,Car.002,Car.002_location_x,Car.002_location_y,Car.003,Car.003_location_x,Car.003_location_y,Car.004,Car.004_location_x,Car.004_location_y,Car.002Motion,Car.004Motion
1,Y,10.908498789360014,-16.847932203402678,Y,112.99614078748931,17.996683489248632,Y,-21.870388714346333,13.186007087011868,Y,27.57548742411391,-49.11593824804605,N,N
2,N,14.986026837846442,-20.65362504865668,N,97.12898049383969,4.360842611893478,N,-25.021649568827048,16.063245258494263,N,6.958327844070116,-67.10909569972063,Y,Y
3,Y,24.386735017113367,-29.427619349305807,Y,112.245076469909,17.351237591328044,Y,-15.857870263908916,7.696316327916836,Y,-10.595847071492686,-82.42910289875725,Y,N
4,N,16.336941428610142,-21.9144786667028,N,52.11074625767835,-34.326702434807665,N,-14.970440968278085,6.886054797123469,N,22.48873819719924,-53.555283027898845,Y,N
5,Y,15.543233089446481,-21.173684216816717,Y,68.98084620032623,-19.82896029659466,Y,-15.291170154373905,7.178894488776174,Y,29.351703174422994,-47.56578632050357,Y,N
6,N,12.965516657244422,-18.76781554676146,N,67.29918494595223,-21.274137937072297,N,-21.983055897790564,13.288877124069643,N,-0.5108294949932528,-73.6276330138123,N,Y
7,N,13.496748561403866,-19.26363199064361,N,108.28952261166546,13.951933494400006,N,-17.1005529882274,8.830939684903274,N,-10.730822826152735,-82.54689992100603,Y,Y
8,Y,17.153797642341974,-22.676877799519175,Y,108.91610106319344,14.49039935118186,Y,-35.27112344250028,25.421460534456784,Y,21.745705140180895,-54.20374824129668,Y,N
9,Y,14.324138018853354,-20.0358621509298,Y,100.32324922375108,7.105917301661082,Y,-25.06860483473333,16.106117457799996,Y,14.118836403231825,-60.859924593543134,N,N
10,N,10.31771106248326,-16.296530324984374,N,102.32867468958803,8.82932981136471,N,-16.869260139016323,8.61975925736273,N,-14.269656214510551,-85.63533633266375,Y,Y
