Category,speed,direction,lane,episode,Time header,lidar number,path to the file
Cat1,10mph,lr,opposite,2,1624824218.668471000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824218.668471000.pcd
Cat1,10mph,lr,opposite,2,1624824218.769313000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824218.769313000.pcd
Cat1,10mph,lr,opposite,2,1624824218.870212000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824218.870212000.pcd
Cat1,10mph,lr,opposite,2,1624824218.971112000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824218.971112000.pcd
Cat1,10mph,lr,opposite,2,1624824219.071902000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.071902000.pcd
Cat1,10mph,lr,opposite,2,1624824219.172762000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.172762000.pcd
Cat1,10mph,lr,opposite,2,1624824219.273659000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.273659000.pcd
Cat1,10mph,lr,opposite,2,1624824219.374521000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.374521000.pcd
Cat1,10mph,lr,opposite,2,1624824219.475354000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.475354000.pcd
Cat1,10mph,lr,opposite,2,1624824219.576208000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.576208000.pcd
Cat1,10mph,lr,opposite,2,1624824219.677062000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.677062000.pcd
Cat1,10mph,lr,opposite,2,1624824219.777998000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.777998000.pcd
Cat1,10mph,lr,opposite,2,1624824219.878762000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.878762000.pcd
Cat1,10mph,lr,opposite,2,1624824219.979637000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824219.979637000.pcd
Cat1,10mph,lr,opposite,2,1624824220.181351000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.181351000.pcd
Cat1,10mph,lr,opposite,2,1624824220.282205000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.282205000.pcd
Cat1,10mph,lr,opposite,2,1624824220.383089000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.383089000.pcd
Cat1,10mph,lr,opposite,2,1624824220.483917000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.483917000.pcd
Cat1,10mph,lr,opposite,2,1624824220.584765000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.584765000.pcd
Cat1,10mph,lr,opposite,2,1624824220.685616000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.685616000.pcd
Cat1,10mph,lr,opposite,2,1624824220.786448000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.786448000.pcd
Cat1,10mph,lr,opposite,2,1624824220.887353000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.887353000.pcd
Cat1,10mph,lr,opposite,2,1624824220.988277000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824220.988277000.pcd
Cat1,10mph,lr,opposite,2,1624824221.089050000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.089050000.pcd
Cat1,10mph,lr,opposite,2,1624824221.189922000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.189922000.pcd
Cat1,10mph,lr,opposite,2,1624824221.290766000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.290766000.pcd
Cat1,10mph,lr,opposite,2,1624824221.391607000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.391607000.pcd
Cat1,10mph,lr,opposite,2,1624824221.492507000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.492507000.pcd
Cat1,10mph,lr,opposite,2,1624824221.694216000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.694216000.pcd
Cat1,10mph,lr,opposite,2,1624824221.795061000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.795061000.pcd
Cat1,10mph,lr,opposite,2,1624824221.895912000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.895912000.pcd
Cat1,10mph,lr,opposite,2,1624824221.996737000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824221.996737000.pcd
Cat1,10mph,lr,opposite,2,1624824222.097611000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824222.097611000.pcd
Cat1,10mph,lr,opposite,2,1624824222.198533000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824222.198533000.pcd
Cat1,10mph,lr,opposite,2,1624824222.299360000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824222.299360000.pcd
Cat1,10mph,lr,opposite,2,1624824222.400218000,ns1,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat1/opposite/bag_files/Cat1_10mph_lr_opposite_2/lidar_pcd/ns1/velodyne_points/1624824222.400218000.pcd
