Category,speed,direction,lane,episode,sweep_time_stamp,max_rssi,selected_sector,tx_mcs,rx_mcs,sqi,all_rssi,all_sector
Cat3,15mph,lr,opposite,7,1625004231.022944,8101,10,6,7,55,"[3857, 6084, 6088, 6452, 4148, 4242, 5156, 6220, 4928, 8101, 4115, 5132, 3772, 4287, 6438, 5034, 4914, 7719, 4986, 4073, 7826, 6481, 5752, 4028, 5848, 5896, 5094, 6342, 6799, 3970, 4803, 4811]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 24, 26, 27, 28, 29, 30, 30, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004231.913025,8101,10,6,7,55,"[3857, 6084, 6088, 6452, 4148, 4242, 5156, 6220, 4928, 8101, 4115, 5132, 3772, 4287, 6438, 5034, 4914, 7719, 4986, 4073, 7826, 6481, 5752, 4028, 5848, 5896, 5094, 6342, 6799, 3970, 4803, 4811]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 24, 26, 27, 28, 29, 30, 30, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004232.783046,9070,19,8,8,65,"[4500, 0, 5360, 7764, 4890, 5148, 6116, 6333, 4332, 8675, 4392, 6155, 4688, 6695, 5112, 4963, 9070, 4994, 4178, 7994, 7920, 5372, 4293, 6373, 5946, 5938, 7556, 8010, 4800, 0, 5240, 5656]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004233.933153,9070,19,8,8,70,"[4500, 0, 5360, 7764, 4890, 5148, 6116, 6333, 4332, 8675, 4392, 6155, 4688, 6695, 5112, 4963, 9070, 4994, 4178, 7994, 7920, 5372, 4293, 6373, 5946, 5938, 7556, 8010, 4800, 0, 5240, 5656]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004234.823276,9070,19,8,8,70,"[4500, 0, 5360, 7764, 4890, 5148, 6116, 6333, 4332, 8675, 4392, 6155, 4688, 6695, 5112, 4963, 9070, 4994, 4178, 7994, 7920, 5372, 4293, 6373, 5946, 5938, 7556, 8010, 4800, 0, 5240, 5656]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004235.786491,8178,10,8,7,60,"[4087, 6068, 5204, 7674, 3476, 4178, 5182, 6120, 4104, 8178, 4848, 4374, 3836, 4681, 6324, 4968, 3581, 6741, 4252, 4036, 7690, 6458, 5150, 5918, 5794, 5140, 7438, 7856, 0, 4286, 4934, 4646]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 30, 30, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004236.722857,8178,10,8,7,60,"[4087, 6068, 5204, 7674, 3476, 4178, 5182, 6120, 4104, 8178, 4848, 4374, 3836, 4681, 6324, 4968, 3581, 6741, 4252, 4036, 7690, 6458, 5150, 5918, 5794, 5140, 7438, 7856, 0, 4286, 4934, 4646]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 30, 30, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004237.732731,8178,10,8,7,70,"[4087, 6068, 5204, 7674, 3476, 4178, 5182, 6120, 4104, 8178, 4848, 4374, 3836, 4681, 6324, 4968, 3581, 6741, 4252, 4036, 7690, 6458, 5150, 5918, 5794, 5140, 7438, 7856, 0, 4286, 4934, 4646]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 30, 30, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004238.72554,7547,17,8,8,30,"[3910, 7547, 4141, 4005, 4219, 6222, 5972, 6232, 4092, 4403, 4112, 5070, 3708, 4341, 3764, 6155, 3620, 3810]","[0, 17, 18, 19, 20, 22, 23, 24, 24, 26, 27, 28, 28, 30, 60, 61, 61, 63]"
Cat3,15mph,lr,opposite,7,1625004239.752689,4957,16,1,2,25,"[4957, 4885, 4318, 4268]","[16, 24, 29, 29]"
Cat3,15mph,lr,opposite,7,1625004240.663967,4984,59,0,3,25,"[1625, 1787, 0, 1466, 1416, 1466, 1402, 1600, 1489, 4648, 4440, 4420, 4816, 4524, 4496, 4836, 4546, 4772, 4640, 4680, 4478, 4296, 4734, 4676, 4456, 4512, 4424, 4610, 4878, 4528, 4880, 4668, 4652, 4396, 1320, 4534, 4548, 4856, 4736, 4984, 4680, 4976, 4780, 0, 4909, 4836, 4952, 4784, 4740, 4428, 4460, 4460, 4944, 4392, 4628]","[2, 7, 7, 7, 7, 7, 27, 30, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61, 61]"
Cat3,15mph,lr,opposite,7,1625004241.574166,5397,30,0,3,30,"[5359, 5115, 5328, 5284, 4952, 5128, 4692, 5397, 4648, 4544, 4876, 4760, 4672, 4992, 4952, 0, 1712, 4884, 4880, 0, 1556]","[7, 10, 12, 12, 12, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
Cat3,15mph,lr,opposite,7,1625004242.592646,5397,30,0,3,30,"[5359, 5115, 5328, 5284, 4952, 5128, 4692, 5397, 4648, 4544, 4876, 4760, 4672, 4992, 4952, 0, 1712, 4884, 4880, 0, 1556, 5048, 1512, 1532, 4840]","[7, 10, 12, 12, 12, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
Cat3,15mph,lr,opposite,7,1625004243.542651,5397,30,0,3,30,"[5359, 5115, 5328, 5284, 4952, 5128, 4692, 5397, 4648, 4544, 4876, 4760, 4672, 4992, 4952, 0, 1712, 4884, 4880, 0, 1556, 5048, 1512, 1532, 4840, 1484, 5152, 1568, 1600, 1580]","[7, 10, 12, 12, 12, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
Cat3,15mph,lr,opposite,7,1625004244.632537,5397,30,0,3,30,"[5359, 5115, 5328, 5284, 4952, 5128, 4692, 5397, 4648, 4544, 4876, 4760, 4672, 4992, 4952, 0, 1712, 4884, 4880, 0, 1556, 5048, 1512, 1532, 4840, 1484, 5152, 1568, 1600, 1580, 1592, 1460, 0, 1740, 1740, 1664, 0]","[7, 10, 12, 12, 12, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
Cat3,15mph,lr,opposite,7,1625004245.602623,5397,30,0,3,30,"[5359, 5115, 5328, 5284, 4952, 5128, 4692, 5397, 4648, 4544, 4876, 4760, 4672, 4992, 4952, 0, 1712, 4884, 4880, 0, 1556, 5048, 1512, 1532, 4840, 1484, 5152, 1568, 1600, 1580, 1592, 1460, 0, 1740, 1740, 1664, 0, 1736, 1664, 0, 1568, 0, 5348]","[7, 10, 12, 12, 12, 20, 20, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
