Category,speed,direction,lane,episode,time header,Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,x,y
Cat3,20mph,lr,opposite,9,1625006447.9251611,1625006447.931592,12761,1625006447,925161110,,0,1,42.33804,-71.08659733333333,6.0,37.416136493572026,-9.851300583186962
Cat3,20mph,lr,opposite,9,1625006448.9360082,1625006448.9376912,12762,1625006448,936008292,,0,1,42.33804,-71.08659733333333,6.0,37.416136493572026,-9.851300583186962
Cat3,20mph,lr,opposite,9,1625006449.944427,1625006449.9451969,12763,1625006449,944426937,,0,1,42.33804,-71.08659733333333,6.0,37.416136493572026,-9.851300583186962
Cat3,20mph,lr,opposite,9,1625006450.9605856,1625006450.9638505,12764,1625006450,960585532,,0,1,42.33804,-71.08659733333333,6.0,37.416136493572026,-9.851300583186962
Cat3,20mph,lr,opposite,9,1625006451.9641361,1625006451.9646463,12765,1625006451,964136093,,0,1,42.33804,-71.08659733333333,6.0,37.416136493572026,-9.851300583186962
Cat3,20mph,lr,opposite,9,1625006452.9764135,1625006452.9771395,12766,1625006452,976413376,,0,1,42.33804,-71.08659733333333,6.0,37.416136493572026,-9.851300583186962
Cat3,20mph,lr,opposite,9,1625006453.9841113,1625006453.9866002,12767,1625006453,984111406,,0,1,42.338032,-71.086592,6.0,37.854173616939036,-10.740189472200099
Cat3,20mph,lr,opposite,9,1625006454.997418,1625006455.0045645,12768,1625006454,997417811,,0,1,42.33800266666667,-71.08655466666667,6.0,40.92042636320017,-13.999448731125439
Cat3,20mph,lr,opposite,9,1625006469.1442397,1625006469.8648047,12782,1625006469,144239734,,0,1,42.33770666666667,-71.086224,6.0,68.07874700760632,-46.88833761987452
Cat3,20mph,lr,opposite,9,1625006470.157628,1625006470.8977473,12783,1625006470,157628138,,0,1,42.33770666666667,-71.086224,6.0,68.07874700760632,-46.88833761987452
Cat3,20mph,lr,opposite,9,1625006471.1639113,1625006471.8763754,12784,1625006471,163911319,,0,1,42.33770666666667,-71.086224,6.0,68.07874700760632,-46.88833761987452
