Category,speed,direction,lane,episode,sweep_time_stamp,max_rssi,selected_sector,tx_mcs,rx_mcs,sqi,all_rssi,all_sector
Cat3,15mph,lr,opposite,6,1625004155.136899,7938,10,6,8,50,"[5635, 6332, 6412, 4044, 5073, 6136, 6445, 4776, 7938, 4976, 6068, 4382, 5366, 5340, 6326, 4736, 7331, 4936, 7153, 5407, 6230, 4580, 6271, 5926, 5214, 6419, 6412, 0, 5202, 5092]","[2, 3, 4, 4, 6, 7, 8, 8, 10, 11, 12, 12, 15, 16, 17, 17, 19, 19, 22, 23, 24, 24, 26, 27, 28, 29, 30, 30, 61, 63]"
Cat3,15mph,lr,opposite,6,1625004156.077069,7938,10,6,8,55,"[5635, 6332, 6412, 4044, 5073, 6136, 6445, 4776, 7938, 4976, 6068, 4382, 5366, 5340, 6326, 4736, 7331, 4936, 7153, 5407, 6230, 4580, 6271, 5926, 5214, 6419, 6412, 0, 5202, 5092]","[2, 3, 4, 4, 6, 7, 8, 8, 10, 11, 12, 12, 15, 16, 17, 17, 19, 19, 22, 23, 24, 24, 26, 27, 28, 29, 30, 30, 61, 63]"
Cat3,15mph,lr,opposite,6,1625004156.967085,7938,10,6,8,55,"[5635, 6332, 6412, 4044, 5073, 6136, 6445, 4776, 7938, 4976, 6068, 4382, 5366, 5340, 6326, 4736, 7331, 4936, 7153, 5407, 6230, 4580, 6271, 5926, 5214, 6419, 6412, 0, 5202, 5092]","[2, 3, 4, 4, 6, 7, 8, 8, 10, 11, 12, 12, 15, 16, 17, 17, 19, 19, 22, 23, 24, 24, 26, 27, 28, 29, 30, 30, 61, 63]"
Cat3,15mph,lr,opposite,6,1625004158.017861,7940,10,6,8,40,"[5378, 5426, 5244, 4321, 5099, 5465, 3622, 7940, 4870, 4302, 3596, 4555, 4520, 5390, 4869, 7539, 5024, 7540, 6333, 6048, 4118, 6247, 5011, 6010, 5362, 6451, 4089, 4930, 4012, 4889]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 12, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 60, 61, 62, 63]"
Cat3,15mph,lr,opposite,6,1625004158.947137,7940,10,7,8,50,"[5378, 5426, 5244, 4321, 5099, 5465, 3622, 7940, 4870, 4302, 3596, 4555, 4520, 5390, 4869, 7539, 5024, 7540, 6333, 6048, 4118, 6247, 5011, 6010, 5362, 6451, 4089, 4930, 4012, 4889]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 12, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 60, 61, 62, 63]"
Cat3,15mph,lr,opposite,6,1625004159.867638,6517,10,7,7,50,"[5509, 5008, 4976, 3779, 5008, 5512, 3444, 6517, 4102, 4254, 3623, 4778, 4976, 5070, 3363, 6313, 4181, 6449, 5295, 4490, 3926, 6081, 5968, 5096, 4496, 6225, 3947, 4116, 3964, 3872]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 60, 60, 60, 63]"
Cat3,15mph,lr,opposite,6,1625004160.78683,6517,10,7,7,50,"[5509, 5008, 4976, 3779, 5008, 5512, 3444, 6517, 4102, 4254, 3623, 4778, 4976, 5070, 3363, 6313, 4181, 6449, 5295, 4490, 3926, 6081, 5968, 5096, 4496, 6225, 3947, 4116, 3964, 3872]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 60, 60, 60, 63]"
Cat3,15mph,lr,opposite,6,1625004161.736955,6517,10,8,7,40,"[5509, 5008, 4976, 3779, 5008, 5512, 3444, 6517, 4102, 4254, 3623, 4778, 4976, 5070, 3363, 6313, 4181, 6449, 5295, 4490, 3926, 6081, 5968, 5096, 4496, 6225, 3947, 4116, 3964, 3872]","[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 60, 60, 60, 63]"
Cat3,15mph,lr,opposite,6,1625004162.776738,6423,22,3,7,40,"[5034, 0, 3934, 4240, 4634, 3341, 6354, 3399, 4884, 4685, 4210, 5032, 3958, 5457, 4127, 6423, 6054, 5069, 3815, 5194, 4850, 4337, 5093, 5324, 3454, 3845, 4666, 3876, 3493]","[3, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 30, 60, 61, 62, 63]"
Cat3,15mph,lr,opposite,6,1625004163.696675,6858,10,3,7,20,"[5814, 3620, 3984, 5971, 4043, 4825, 4728, 6858, 4079, 0, 4100, 4140, 3965, 4847, 5146, 4179, 4301, 4143, 4175, 5349, 5120, 4194, 4886, 3450, 5038, 3884, 5750, 3626, 3939, 3764, 3934, 4243]","[1, 1, 3, 4, 6, 7, 8, 10, 11, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 28, 30, 30, 60, 60, 62, 63]"
