Phi,Theta,Gain
0.000000000000000000e+00,8.280000000000001137e+01,1.239999999999993774e+00
0.000000000000000000e+00,8.459999999999999432e+01,2.462500000000005684e+00
0.000000000000000000e+00,8.640000000000000568e+01,1.257500000000004947e+00
0.000000000000000000e+00,8.820000000000001705e+01,1.628750000000002585e+00
0.000000000000000000e+00,9.000000000000000000e+01,2.000000000000000000e+00
3.599999999999999645e+00,-9.000000000000000000e+01,5.187499999999997335e+00
3.599999999999999645e+00,-8.820000000000000284e+01,7.105073154239920363e+00
3.599999999999999645e+00,-8.640000000000000568e+01,6.992836941929590822e+00
3.599999999999999645e+00,-8.459999999999999432e+01,7.547178340025923582e+00
3.599999999999999645e+00,-8.279999999999999716e+01,8.422918890993626562e+00
3.599999999999999645e+00,-8.100000000000000000e+01,9.894245176112034912e+00
3.599999999999999645e+00,-7.920000000000000284e+01,9.777399030488583165e+00
3.599999999999999645e+00,-7.740000000000000568e+01,9.967502869012371036e+00
3.599999999999999645e+00,-7.559999999999999432e+01,9.565482816277180333e+00
3.599999999999999645e+00,-7.379999999999999716e+01,9.481152310581121512e+00
3.599999999999999645e+00,-7.200000000000000000e+01,8.246976990347535619e+00
3.599999999999999645e+00,-7.020000000000000284e+01,6.438219885119532471e+00
3.599999999999999645e+00,-6.840000000000000568e+01,2.952920941460472903e+00
3.599999999999999645e+00,-6.659999999999999432e+01,-1.193171958096068908e+00
3.599999999999999645e+00,-6.479999999999999716e+01,-1.934849417836995045e+00
3.599999999999999645e+00,-6.300000000000000000e+01,3.337366298851417223e+00
3.599999999999999645e+00,-6.120000000000000284e+01,7.098193083573475448e+00
3.599999999999999645e+00,-5.939999999999999858e+01,9.482452424016278414e+00
3.599999999999999645e+00,-5.760000000000000142e+01,1.143359285399206549e+01
3.599999999999999645e+00,-5.579999999999999716e+01,1.336076271709655217e+01
3.599999999999999645e+00,-5.400000000000000000e+01,1.412761416774450396e+01
3.599999999999999645e+00,-5.219999999999999574e+01,1.393212541131760673e+01
3.599999999999999645e+00,-5.039999999999999858e+01,1.390755990492821326e+01
3.599999999999999645e+00,-4.860000000000000142e+01,1.403367785787344069e+01
3.599999999999999645e+00,-4.679999999999999716e+01,1.435937219389696473e+01
3.599999999999999645e+00,-4.500000000000000000e+01,1.342798725895317169e+01
3.599999999999999645e+00,-4.319999999999999574e+01,1.226008953168044791e+01
3.599999999999999645e+00,-4.139999999999999858e+01,1.047742792545661317e+01
3.599999999999999645e+00,-3.960000000000000142e+01,8.722190804888864335e+00
3.599999999999999645e+00,-3.779999999999999716e+01,8.358537669207517951e+00
3.599999999999999645e+00,-3.600000000000000000e+01,8.640438434580895333e+00
3.599999999999999645e+00,-3.419999999999999574e+01,9.429150560730761299e+00
3.599999999999999645e+00,-3.239999999999999858e+01,1.022091936765874820e+01
3.599999999999999645e+00,-3.060000000000000142e+01,1.098145058989957690e+01
3.599999999999999645e+00,-2.879999999999999716e+01,1.127874726969035279e+01
3.599999999999999645e+00,-2.700000000000000000e+01,1.141653087599827998e+01
3.599999999999999645e+00,-2.520000000000000284e+01,1.124318894009216763e+01
3.599999999999999645e+00,-2.339999999999999147e+01,1.111195073845578385e+01
3.599999999999999645e+00,-2.159999999999999432e+01,1.003038337230666244e+01
3.599999999999999645e+00,-1.979999999999999716e+01,9.215086283447785576e+00
3.599999999999999645e+00,-1.800000000000000000e+01,9.166088818682212036e+00
3.599999999999999645e+00,-1.620000000000000284e+01,9.546995019692303686e+00
3.599999999999999645e+00,-1.439999999999999147e+01,1.027564756317689820e+01
3.599999999999999645e+00,-1.259999999999999432e+01,1.046042856937027032e+01
3.599999999999999645e+00,-1.079999999999999716e+01,1.087242315290399119e+01
3.599999999999999645e+00,-9.000000000000000000e+00,1.157857613917530770e+01
3.599999999999999645e+00,-7.200000000000002842e+00,1.219486115938670601e+01
3.599999999999999645e+00,-5.399999999999991473e+00,1.216344572471428620e+01
3.599999999999999645e+00,-3.599999999999994316e+00,1.181903405142459995e+01
3.599999999999999645e+00,-1.799999999999997158e+00,1.213243875450334563e+01
3.599999999999999645e+00,0.000000000000000000e+00,1.267588552479285724e+01
3.599999999999999645e+00,1.799999999999997158e+00,1.318227285103997737e+01
3.599999999999999645e+00,3.600000000000008527e+00,1.384845165975838377e+01
3.599999999999999645e+00,5.400000000000005684e+00,1.410578234882612847e+01
3.599999999999999645e+00,7.200000000000002842e+00,1.392610616467654872e+01
3.599999999999999645e+00,9.000000000000000000e+00,1.370032129742962113e+01
3.599999999999999645e+00,1.079999999999999716e+01,1.331451818830242573e+01
3.599999999999999645e+00,1.260000000000000853e+01,1.297910958092924716e+01
3.599999999999999645e+00,1.440000000000000568e+01,1.278982423748321473e+01
3.599999999999999645e+00,1.620000000000000284e+01,1.299428595929392038e+01
3.599999999999999645e+00,1.800000000000000000e+01,1.355534068551309979e+01
3.599999999999999645e+00,1.979999999999999716e+01,1.412997504127339710e+01
3.599999999999999645e+00,2.160000000000000853e+01,1.456045672492755649e+01
3.599999999999999645e+00,2.340000000000000568e+01,1.485543809706697083e+01
3.599999999999999645e+00,2.520000000000000284e+01,1.533059532658931268e+01
3.599999999999999645e+00,2.700000000000000000e+01,1.552225876417682571e+01
3.599999999999999645e+00,2.879999999999999716e+01,1.499186264228215215e+01
3.599999999999999645e+00,3.060000000000000853e+01,1.466510759187893242e+01
3.599999999999999645e+00,3.240000000000000568e+01,1.440816267140180074e+01
3.599999999999999645e+00,3.420000000000000284e+01,1.390415429139911652e+01
3.599999999999999645e+00,3.600000000000000000e+01,1.373858809062453368e+01
3.599999999999999645e+00,3.779999999999999716e+01,1.395868808797395744e+01
3.599999999999999645e+00,3.959999999999999432e+01,1.416049686660696949e+01
3.599999999999999645e+00,4.140000000000000568e+01,1.333139420665440689e+01
3.599999999999999645e+00,4.320000000000001705e+01,1.304308145924494511e+01
3.599999999999999645e+00,4.500000000000000000e+01,1.243361577908149584e+01
3.599999999999999645e+00,4.680000000000001137e+01,1.205727868852459572e+01
3.599999999999999645e+00,4.859999999999999432e+01,1.130274884051860340e+01
3.599999999999999645e+00,5.040000000000000568e+01,1.084827429983525882e+01
3.599999999999999645e+00,5.220000000000001705e+01,1.112568126770010046e+01
3.599999999999999645e+00,5.400000000000000000e+01,1.068506095131862033e+01
3.599999999999999645e+00,5.580000000000001137e+01,1.022124197644071764e+01
3.599999999999999645e+00,5.759999999999999432e+01,8.981924036063688277e+00
3.599999999999999645e+00,5.940000000000000568e+01,8.722974145165935056e+00
3.599999999999999645e+00,6.120000000000001705e+01,7.651665100986379642e+00
3.599999999999999645e+00,6.300000000000000000e+01,6.074918337018640813e+00
3.599999999999999645e+00,6.480000000000001137e+01,4.211302724762956196e+00
3.599999999999999645e+00,6.659999999999999432e+01,2.054425904551626214e+00
3.599999999999999645e+00,6.840000000000000568e+01,2.337840565085757549e-01
3.599999999999999645e+00,7.020000000000001705e+01,-1.665597698165454332e+00
3.599999999999999645e+00,7.200000000000000000e+01,-1.142544806737209928e+00
3.599999999999999645e+00,7.380000000000001137e+01,-2.165110544700674211e+00
3.599999999999999645e+00,7.559999999999999432e+01,-1.224693485595643727e+00
3.599999999999999645e+00,7.740000000000000568e+01,-9.129398464624300935e-01
3.599999999999999645e+00,7.920000000000001705e+01,-5.182681859341996544e-01
3.599999999999999645e+00,8.100000000000000000e+01,1.262121939242428326e+00
3.599999999999999645e+00,8.280000000000001137e+01,3.026615827338126063e+00
3.599999999999999645e+00,8.459999999999999432e+01,3.733634186901995555e+00
3.599999999999999645e+00,8.640000000000000568e+01,3.287032490331796897e+00
3.599999999999999645e+00,8.820000000000001705e+01,5.103750000000003340e+00
3.599999999999999645e+00,9.000000000000000000e+01,2.999999999999998224e+00
7.199999999999999289e+00,-9.000000000000000000e+01,7.125000000000000000e+00
7.199999999999999289e+00,-8.820000000000000284e+01,7.390328339673056135e+00
7.199999999999999289e+00,-8.640000000000000568e+01,7.499406565656566492e+00
7.199999999999999289e+00,-8.459999999999999432e+01,7.579591761477311174e+00
7.199999999999999289e+00,-8.279999999999999716e+01,7.422437717617210495e+00
7.199999999999999289e+00,-8.100000000000000000e+01,6.795680366221269253e+00
7.199999999999999289e+00,-7.920000000000000284e+01,7.460696509372973573e+00
7.199999999999999289e+00,-7.740000000000000568e+01,7.644950976551020183e+00
7.199999999999999289e+00,-7.559999999999999432e+01,7.327516342453473719e+00
7.199999999999999289e+00,-7.379999999999999716e+01,6.704640122618171105e+00
7.199999999999999289e+00,-7.200000000000000000e+01,5.749145161006583571e+00
7.199999999999999289e+00,-7.020000000000000284e+01,3.503796851184723948e+00
7.199999999999999289e+00,-6.840000000000000568e+01,3.787707641196032538e-01
7.199999999999999289e+00,-6.659999999999999432e+01,-1.427738373628047119e+00
7.199999999999999289e+00,-6.479999999999999716e+01,1.659048573079443534e+00
7.199999999999999289e+00,-6.300000000000000000e+01,6.856946156959429217e+00
7.199999999999999289e+00,-6.120000000000000284e+01,9.160409221902011012e+00
7.199999999999999289e+00,-5.939999999999999858e+01,1.029087980169767924e+01
7.199999999999999289e+00,-5.760000000000000142e+01,1.130969894146949350e+01
7.199999999999999289e+00,-5.579999999999999716e+01,1.214502769965940132e+01
7.199999999999999289e+00,-5.400000000000000000e+01,1.286549037336453338e+01
7.199999999999999289e+00,-5.219999999999999574e+01,1.327924542726645107e+01
7.199999999999999289e+00,-5.039999999999999858e+01,1.345451509569952719e+01
7.199999999999999289e+00,-4.860000000000000142e+01,1.332594097876149064e+01
7.199999999999999289e+00,-4.679999999999999716e+01,1.281035965717784286e+01
7.199999999999999289e+00,-4.500000000000000000e+01,1.182014532137257490e+01
7.199999999999999289e+00,-4.319999999999999574e+01,1.024225111517273845e+01
7.199999999999999289e+00,-4.139999999999999858e+01,8.157713665614666709e+00
7.199999999999999289e+00,-3.960000000000000142e+01,7.237824886206720265e+00
7.199999999999999289e+00,-3.779999999999999716e+01,6.372531886866432238e+00
7.199999999999999289e+00,-3.600000000000000000e+01,7.616503001556364616e+00
7.199999999999999289e+00,-3.419999999999999574e+01,9.352361210510171219e+00
7.199999999999999289e+00,-3.239999999999999858e+01,1.063602454183266488e+01
7.199999999999999289e+00,-3.060000000000000142e+01,1.168185152960791839e+01
7.199999999999999289e+00,-2.879999999999999716e+01,1.184508896029157832e+01
7.199999999999999289e+00,-2.700000000000000000e+01,1.166792461915846246e+01
7.199999999999999289e+00,-2.520000000000000284e+01,1.136398076693693326e+01
7.199999999999999289e+00,-2.339999999999999147e+01,1.072162077901796806e+01
7.199999999999999289e+00,-2.159999999999999432e+01,9.884833828164779845e+00
7.199999999999999289e+00,-1.979999999999999716e+01,8.960754510248053251e+00
7.199999999999999289e+00,-1.800000000000000000e+01,8.246468372490429743e+00
7.199999999999999289e+00,-1.620000000000000284e+01,8.599161990352447660e+00
7.199999999999999289e+00,-1.439999999999999147e+01,9.544327056384231511e+00
7.199999999999999289e+00,-1.259999999999999432e+01,1.048694255260060970e+01
7.199999999999999289e+00,-1.079999999999999716e+01,1.144969569028176082e+01
7.199999999999999289e+00,-9.000000000000000000e+00,1.244233534806169672e+01
7.199999999999999289e+00,-7.200000000000002842e+00,1.301751536601451065e+01
7.199999999999999289e+00,-5.399999999999991473e+00,1.321902509092909916e+01
7.199999999999999289e+00,-3.599999999999994316e+00,1.339273618275608513e+01
7.199999999999999289e+00,-1.799999999999997158e+00,1.360855377097098540e+01
7.199999999999999289e+00,0.000000000000000000e+00,1.336001342796854452e+01
7.199999999999999289e+00,1.799999999999997158e+00,1.342371883045236380e+01
7.199999999999999289e+00,3.600000000000008527e+00,1.418184324013511777e+01
7.199999999999999289e+00,5.400000000000005684e+00,1.427623315509304192e+01
7.199999999999999289e+00,7.200000000000002842e+00,1.399558399673892239e+01
7.199999999999999289e+00,9.000000000000000000e+00,1.395319882909004683e+01
7.199999999999999289e+00,1.079999999999999716e+01,1.353296131066841212e+01
7.199999999999999289e+00,1.260000000000000853e+01,1.318574535947688808e+01
7.199999999999999289e+00,1.440000000000000568e+01,1.325629271917087060e+01
7.199999999999999289e+00,1.620000000000000284e+01,1.362298266010047776e+01
7.199999999999999289e+00,1.800000000000000000e+01,1.434346495497670304e+01
7.199999999999999289e+00,1.979999999999999716e+01,1.486684108905460278e+01
7.199999999999999289e+00,2.160000000000000853e+01,1.461460709572437544e+01
7.199999999999999289e+00,2.340000000000000568e+01,1.450582334047109434e+01
7.199999999999999289e+00,2.520000000000000284e+01,1.452185403576607214e+01
7.199999999999999289e+00,2.700000000000000000e+01,1.460254157671703723e+01
7.199999999999999289e+00,2.879999999999999716e+01,1.445403817251254175e+01
7.199999999999999289e+00,3.060000000000000853e+01,1.376686737130837557e+01
7.199999999999999289e+00,3.240000000000000568e+01,1.344303416328894052e+01
7.199999999999999289e+00,3.420000000000000284e+01,1.326877589398661073e+01
7.199999999999999289e+00,3.600000000000000000e+01,1.348480918054919542e+01
7.199999999999999289e+00,3.779999999999999716e+01,1.382700700046360254e+01
7.199999999999999289e+00,3.959999999999999432e+01,1.323017346053772769e+01
7.199999999999999289e+00,4.140000000000000568e+01,1.280886243939140456e+01
7.199999999999999289e+00,4.320000000000001705e+01,1.272319487127302651e+01
7.199999999999999289e+00,4.500000000000000000e+01,1.200973120087690482e+01
7.199999999999999289e+00,4.680000000000001137e+01,1.119768161434977927e+01
7.199999999999999289e+00,4.859999999999999432e+01,1.067404023127686408e+01
7.199999999999999289e+00,5.040000000000000568e+01,9.822530889621081229e+00
7.199999999999999289e+00,5.220000000000001705e+01,9.700757361141379320e+00
7.199999999999999289e+00,5.400000000000000000e+01,1.032671489004103549e+01
7.199999999999999289e+00,5.580000000000001137e+01,1.009778969564031037e+01
7.199999999999999289e+00,5.759999999999999432e+01,9.386138371760539556e+00
7.199999999999999289e+00,5.940000000000000568e+01,8.259913420364576098e+00
7.199999999999999289e+00,6.120000000000001705e+01,7.486013223731230681e+00
7.199999999999999289e+00,6.300000000000000000e+01,6.477787978897342036e+00
7.199999999999999289e+00,6.480000000000001137e+01,4.859763504022477143e+00
7.199999999999999289e+00,6.659999999999999432e+01,3.274145523025617788e+00
7.199999999999999289e+00,6.840000000000000568e+01,-1.246294595008436978e-01
7.199999999999999289e+00,7.020000000000001705e+01,-3.101753786856221495e+00
7.199999999999999289e+00,7.200000000000000000e+01,-4.854786087153876828e+00
7.199999999999999289e+00,7.380000000000001137e+01,-3.516180918436906389e+00
7.199999999999999289e+00,7.559999999999999432e+01,-1.130000000000014104e+00
7.199999999999999289e+00,7.740000000000000568e+01,3.049234134272005847e-01
7.199999999999999289e+00,7.920000000000001705e+01,1.198779735710913563e+00
7.199999999999999289e+00,8.100000000000000000e+01,2.275711862171495348e+00
7.199999999999999289e+00,8.280000000000001137e+01,2.808204316546754953e+00
7.199999999999999289e+00,8.459999999999999432e+01,4.265942110128458253e+00
7.199999999999999289e+00,8.640000000000000568e+01,4.866137169524218820e+00
7.199999999999999289e+00,8.820000000000001705e+01,4.472976641414136978e+00
7.199999999999999289e+00,9.000000000000000000e+01,4.000000000000000000e+00
1.079999999999999893e+01,-9.000000000000000000e+01,8.500000000000000000e+00
1.079999999999999893e+01,-8.820000000000000284e+01,8.746288108217243007e+00
1.079999999999999893e+01,-8.640000000000000568e+01,8.297891386782229262e+00
1.079999999999999893e+01,-8.459999999999999432e+01,8.005618425064792376e+00
1.079999999999999893e+01,-8.279999999999999716e+01,7.596193068799695247e+00
1.079999999999999893e+01,-8.100000000000000000e+01,7.277548884215526037e+00
1.079999999999999893e+01,-7.920000000000000284e+01,7.109564208016582398e+00
1.079999999999999893e+01,-7.740000000000000568e+01,7.009076231157017389e+00
1.079999999999999893e+01,-7.559999999999999432e+01,6.306708643388659219e+00
1.079999999999999893e+01,-7.379999999999999716e+01,4.675242075245784612e+00
1.079999999999999893e+01,-7.200000000000000000e+01,2.510157136016521573e+00
1.079999999999999893e+01,-7.020000000000000284e+01,-5.805548531245349198e-01
1.079999999999999893e+01,-6.840000000000000568e+01,-3.793474128827876601e+00
1.079999999999999893e+01,-6.659999999999999432e+01,-3.534050947584566948e+00
1.079999999999999893e+01,-6.479999999999999716e+01,-9.777252801085218881e-01
1.079999999999999893e+01,-6.300000000000000000e+01,2.090603351718675729e+00
1.079999999999999893e+01,-6.120000000000000284e+01,5.054648384925962468e+00
1.079999999999999893e+01,-5.939999999999999858e+01,7.397756662086816704e+00
1.079999999999999893e+01,-5.760000000000000142e+01,9.309951349013774191e+00
1.079999999999999893e+01,-5.579999999999999716e+01,1.105172573374257361e+01
1.079999999999999893e+01,-5.400000000000000000e+01,1.225829343706363872e+01
1.079999999999999893e+01,-5.219999999999999574e+01,1.321661148347840431e+01
1.079999999999999893e+01,-5.039999999999999858e+01,1.442432402204157960e+01
1.079999999999999893e+01,-4.860000000000000142e+01,1.417842348683026721e+01
1.079999999999999893e+01,-4.679999999999999716e+01,1.394951885951886084e+01
1.079999999999999893e+01,-4.500000000000000000e+01,1.244692825592000140e+01
1.079999999999999893e+01,-4.319999999999999574e+01,1.102288732394367088e+01
1.079999999999999893e+01,-4.139999999999999858e+01,9.859561110182244903e+00
1.079999999999999893e+01,-3.960000000000000142e+01,9.829310494362534456e+00
1.079999999999999893e+01,-3.779999999999999716e+01,9.736099414924229478e+00
1.079999999999999893e+01,-3.600000000000000000e+01,1.022863336544875068e+01
1.079999999999999893e+01,-3.419999999999999574e+01,1.114413572849778511e+01
1.079999999999999893e+01,-3.239999999999999858e+01,1.176866835506362818e+01
1.079999999999999893e+01,-3.060000000000000142e+01,1.232222958284672032e+01
1.079999999999999893e+01,-2.879999999999999716e+01,1.297838281975477237e+01
1.079999999999999893e+01,-2.700000000000000000e+01,1.260857693177151084e+01
1.079999999999999893e+01,-2.520000000000000284e+01,1.184938865918488204e+01
1.079999999999999893e+01,-2.339999999999999147e+01,1.084629778601359540e+01
1.079999999999999893e+01,-2.159999999999999432e+01,9.533076340379011526e+00
1.079999999999999893e+01,-1.979999999999999716e+01,9.014444707553868952e+00
1.079999999999999893e+01,-1.800000000000000000e+01,9.008780900889163945e+00
1.079999999999999893e+01,-1.620000000000000284e+01,8.867717758772103664e+00
1.079999999999999893e+01,-1.439999999999999147e+01,9.603254668404208161e+00
1.079999999999999893e+01,-1.259999999999999432e+01,1.083407461702478258e+01
1.079999999999999893e+01,-1.079999999999999716e+01,1.199812643224022501e+01
1.079999999999999893e+01,-9.000000000000000000e+00,1.312161193878213794e+01
1.079999999999999893e+01,-7.200000000000002842e+00,1.382219528821226717e+01
1.079999999999999893e+01,-5.399999999999991473e+00,1.425468273711400435e+01
1.079999999999999893e+01,-3.599999999999994316e+00,1.433234147053102348e+01
1.079999999999999893e+01,-1.799999999999997158e+00,1.410475637527660098e+01
1.079999999999999893e+01,0.000000000000000000e+00,1.389555456481028450e+01
1.079999999999999893e+01,1.799999999999997158e+00,1.396035680477833907e+01
1.079999999999999893e+01,3.600000000000008527e+00,1.416294424527796458e+01
1.079999999999999893e+01,5.400000000000005684e+00,1.439090956222197093e+01
1.079999999999999893e+01,7.200000000000002842e+00,1.437903052315190777e+01
1.079999999999999893e+01,9.000000000000000000e+00,1.410019583040663349e+01
1.079999999999999893e+01,1.079999999999999716e+01,1.378057205894533510e+01
1.079999999999999893e+01,1.260000000000000853e+01,1.344188228878591040e+01
1.079999999999999893e+01,1.440000000000000568e+01,1.303700907590759250e+01
1.079999999999999893e+01,1.620000000000000284e+01,1.297950205821340930e+01
1.079999999999999893e+01,1.800000000000000000e+01,1.331781151729559909e+01
1.079999999999999893e+01,1.979999999999999716e+01,1.373332285566654676e+01
1.079999999999999893e+01,2.160000000000000853e+01,1.426392303328290545e+01
1.079999999999999893e+01,2.340000000000000568e+01,1.453784190067977455e+01
1.079999999999999893e+01,2.520000000000000284e+01,1.482598550024166251e+01
1.079999999999999893e+01,2.700000000000000000e+01,1.442430739746910717e+01
1.079999999999999893e+01,2.879999999999999716e+01,1.423421912981612003e+01
1.079999999999999893e+01,3.060000000000000853e+01,1.414911553783166909e+01
1.079999999999999893e+01,3.240000000000000568e+01,1.405481374172185305e+01
1.079999999999999893e+01,3.420000000000000284e+01,1.406234138780033049e+01
1.079999999999999893e+01,3.600000000000000000e+01,1.429855896716312280e+01
1.079999999999999893e+01,3.779999999999999716e+01,1.442192666425787095e+01
1.079999999999999893e+01,3.959999999999999432e+01,1.425697703035274522e+01
1.079999999999999893e+01,4.140000000000000568e+01,1.397746249930810869e+01
1.079999999999999893e+01,4.320000000000001705e+01,1.322400129741477137e+01
1.079999999999999893e+01,4.500000000000000000e+01,1.283695744398392691e+01
1.079999999999999893e+01,4.680000000000001137e+01,1.283343665753768725e+01
1.079999999999999893e+01,4.859999999999999432e+01,1.328990779063918559e+01
